KOSE TRAB      3418-85 01010001111010110010100011111110011010000010111
ESCH COLI      0598-83 00000001110000101011000110111100001001000010111
ESCH COLI      1901-80 10000001110000111010000110111100001101000010101
ESCH COLI      0070-83 01000001110000101010000110111100001011000010101
ESCH COLI      0122-78 11000001000000111010000110110100000011110010111
ESCH COLI      9910-84 11000010100000101011000111111100011011110010101
ESCH COLI      3180-86 10000001000000111011000010111100011001110010101
ESCH COLI      3233-78 11000001000000101000000110111100001001110010101
ESCH COLI      2457-88 01000001110000111010000011111100001010110010101
ESCH COLI      1302-81 10000001001000111010000010111100001001110010101
ESCH COLI      2709-78 11000001001000111000000010111100001001110010101
ESCH COLI      2820-78 01000001100000111010000010111100001010110010101
ESCH COLI      1824-78 11000000100000101011000110011100001011110010101
ESCH COLI      3233-87 11000000010000101011000111011100001011110010111
ESCH COLI      3226-87 11000000010000101011000111011100001011110010111
ESCH COLI      3122-88 11000000010000101011000111011100001011110010111
ESCH COLI      1357-82 11000100100000111011000110111100000011110010101
ESCH COLI      1807-79 11000000100010111010000110111100001010110010101
ESCH COLI      3103-78 01000001000000111011000110111100001011000010101
ESCH COLI      2734-73 11000001000000111011000110111100000011110010101
ESCH COLI      1825-78 11000000100000111011000110011100001011110010111
ESCH COLI      3439-86 11000001100000101011000110111100001011110010111
ESCH COLI      2836-81 11000000100000111011000110111100001011100010101
ESCH COLI      4346-83 01000001000000111010000110111100001011010010101
ESCH COLI      3102-78 01000001000000111010000110111100001011010010101
ESCH COLI      3101-78 01000001000000111010000110111100001011010010101
ESCH COLI      3399-77 11000000000000111010000110111100001011110010101
ESCH COLI      3143-85 11000101110000101011000110011100001011110010101
ESCH COLI      3136-85 11010001010000101011000110011100001011100010111
ESCH COLI      1832-81 11000000100000111010000110111100001011110010111
ESCH COLI      0026-83 01000011000010111001000110111100001011110010101
ESCH COLI      0075-83 11000001000010111010000110111100001011010010101
ESCH COLI      9032-80 11000001000000111010000110111100001011110010101
ESCH COLI      2892-80 01000001110000111011000110111100000011000010101
ESCH COLI      3587-87 01000001101000110011000110111100001011000010101
ESCH COLI      2626-81 11010000101010111011000110011100001011110010111
ESCH COLI      3153-86 11000101110000101011000110111100001011110010111
ESCH COLI      1852-81 11000001001010111011000110011100001011000010101
ESCH COLI      1436-83 11000001001010111010000110111100001001110010101
ESCH COLI      0912-81 11000001110000111010000110111100001011100010101
ESCH COLI      3384-87 11000101110000101011000111111100001011110010101
ESCH COLI      0628-83 11010001000000111010000110111100001011110010111
ESCH COLI      0547-82 11000011001000110011000110111100001011100010101
ESCH COLI      3076-85 11000100101000111011000110111100000011000010101
ESCH COLI      2510-81 01000000101000111010000110110100001011100010101
ESCH COLI      0262-80 11010001011010111011000110011100001011110010111
ESCH COLI      9911-84 11010001110010111010000110111100001011010010111
ESCH COLI      3044-86 11000001101000111011000110111100000001010010111
ESCH COLI      3053-78 11000100101000111011000110111100000011110010101
ESCH COLI      0594-82 11000100101000111011000110111100000011110010101
ESCH COLI      0136-83 11000100101000111011000110111100000011110010101
ESCH COLI      0246-77 01000000110000111011001110111100001011010010101
ESCH COLI      0374-83 01000001000000111011000110111100001011110010101
ESCH COLI      0079-78 11000101101000111011000111111100001011110010101
ESCH COLI      3376-85 01000001101000100010000110111100001011110010101
ESCH COLI      1847-81 11000001101000110011000110111100001011110010101
ESCH COLI      0720-80 11000001101000111010000110111100001011110010101
ESCH COLI      1986-82 01000001111000111010000010111100001011110010101
ESCH COLI      0013-83 01000001011000111010000111111100001011110010101
ESCH COLI      3377-85 11000001010000111010000111111100001011110010101
ESCH COLI      2474-75 11001001001000111011000110111100000011110110101
