V.         nereis   VIB 447 001110010000010001000100000000110010000000000000000000000000000001101000000000001100010000001011
V.            sp.   VIB 600 000000000000000000000001000000100000000000000000000000000000000000000000000000000000010000000000
V.        harveyi   VIB 398 011111010001010111010111001000010010001000101000000101000001000000011111000001011100011000001111
V.STD3-1018 pisci   VIB 623 001100010001010001000111000000110010000000000000000000000000000000000000000000000000010000000000
V.        harveyi   VIB 629 001111010001010111000111001000010011100000101000000101000001100111111111000001011100011100001000
V.   mediterranei   VIB 635 001111110001011101110111011011110110100000000000000001010001101111111111100001001100011101001111
V.        harveyi   VIB 628 011111010101010111000111101000110011100000100000000101010001000101111111000001011100011100001111
V.        VIB 636   VIB 636 001111010001010111000111001000110011100000101000000001010001101010111111000001001100011100001111
V.        harveyi   VIB 631 011111110001010101000111001000110011110000101000000101010001111111111111000001011100011100001111
V.   mediterranei   VIB 630 001111110001011111010111011011111111100000001000001101010001111111111111100101001100111101001011
V.        VIB 399   VIB 399 001000000000010001000101000000010010000000000000000000000000000000000000000000000000010000000000
V.        VIB 643  VIB699t1 011111010001010111000111001000110011110000101000001111010001111000011111000001001100111100001111
V.        harveyi   VIB 648 011111110001010101000111001000110010100000101000001101010001111111111111000001011100011100001111
V.        VIB 210   VIB 192 001100010000010101000110000000010010000000001000000001000000000001111110000000001100010000001010
V. diazotrophicus   VIB 189 011100010100010011000110010000110010000000000000000000000000000000000000000000000000010100000000
V.      STD3-1008   VIB 188 000000000000010001000110000000110010000000000000000001000000000001110000000000001100010000000000
