STD3-996/R15026/LMG 19990        0092                          0001000000000000001100011001000000010000000000001001100000001000110111111101111100001000010000011000001100010000000111100000001111100000001100011000000000011000010000111001110011110000000001100011000110000011110111110001000010000000000101110001100000000000011101101000000011010000110011100010000001100000000000000000000
FKFO 99/LMG 20008                0093                          0001000000000101010000001111011110001000100100101010110000001001000100000110100000100010010111000000011001000000010001011000001000010000010011111110101110100100011000000110001011000100001111000011000000001101101000111111001100010000011101010111000010000001101110000100010111100011100011100110000100000000100010000000000
KV 1                             0094                          0001000000000101110000001001011010001000100100100010110000011010000100000010100000100010000111010000111001100000010000001000001100011000010010011101101110010110000110000111001111000100001111000011000000001101101000111111001100000000011101001111000010000001101111000100010111100010100011101110000110000011110011001101000
VIB 442/LMG 10950                0095                          0001110100000010101000001000000000000010101001101001001111100010000000000000000011110000000010001000000011000000010001110000000110000110110010000000010010000000100000000100000110001100101001011011001000011001100010000011000011111110011011000001110001101100011000000010110000000111010111000000011000000000000000000000000
STD3-938/R15041                  0096                          0000000011000001110000010011010110111101000000100101001010001010000000000000011101100010110000000011011000010010011100011001110100000110000001001000010000000100001010000110000000101011101000110010100000100100000000110011001010110001010101000000010001101001001010110101010000010001000011001001111100000000000000000000000
VIB  382                         0097                          0000010000000000100100000111000000010001010100100001100000000000001000000000000000001001001010001110000110000000101111100100011100001101111001100000001100010000000100101100000100010010000000011000001100101000100000010110110000011110001000000010000001110000011000000110000000000111000010000000101000000000000001110000000
STD3-932                         0098                          0111001100000000011000000000000000111100011111100000000000001000000000010000000000000100000000110010101000000000000000001000001000010000101000100000010000000000110010000010000010100101000001000111100000100001000000000010100100011000100000001001001010101000100000110000000000000000111011000000000000000000000000000000000
LMG 7891T                        0099                          0011011010101000000011111000100000101000011000101000000010000000000100100000000000101001010010000000011000001000001011000000000000100000001111000000001100010010000011011000000000011000000000000000011000000011000000111110000001110000001100100010110000000000110110010110000011111011000011000010100010000000000000000000000
VIB 190                          0100                          0000010001001000000000010000001000110000100000010000000010010000000000100000000000010010011000000100011100000000100000110000001000000100010001000000000011001100000001101100000000001100110000000010000001101001100000011000001111011000011000110001111111000011100111101110101011001111011111100001011000001000001000000000000
FKFO 70                          0101                          0000001000001000000010010001100000001010000111000001000010000010000000100000000111000000000101000000001000001100110001100000000011011001000000100001101001000100100000001100011110010010100000000001111000110101000000110011011110001110110100011000111011010001011011101010100110010000010011100110000110000000000000000000000
LMG 11257                        0102                          0100001000000001101100100010000100011000000010101010100111001000000000110000000000110000010100000100001101000001000001101100000000011000000000000000010010000001100110000011111001000011000000000000110100010111100100000011111101100110101101110011001110110101111111001110010100110011110011100111001000001001000100110000000
INCO 200                         0103                          0000100000000001100110000000011000000100000011000100100001000010100101000010000010101000001001000101000010101001000001110000100100100001000010110001000000000001000101001001100010100011000000000100000100010001000000001000100010000111010000101101101011110101100000011010100010000010001011010000000000000000000000000000000
VIB 617                          0104                          0001010000000010000101100000100000000010100000000010001100000011000010000000011000000110110000000011100000101000010110000000110000000110011000010011010100000110101100000111100000101010111101000011011010000110000011011101000001111010100001010010000111000001101001010101010000001010001011001101000100000010000000000000000
LMG 11260                        0105                          0000100110000100001000000001000100000001001000001101110011000001001010000000110000010001001001000000100001011100111010000000011000001111110011000011001000001100011000001101100000001100101000000011011000110000000000111011110110000110010000000001101101111111111110000110001010101111100011110110110110010100001100110110000
LMG 3896T                        0106                          0011010010100000010100000011000001000000000001000001001001100010001000001010001000011011000000100000000001010010001000101000000100110000000111000010001000100000100100000111000000000011110001100000001000110000001011011111100011111110000000001101100000000111110011000000000000010100000011010000000000000000000000000000000
LMG 7897T                        0107                          0000000010100010010100110010000001010100000000001000010100101101100000000100000000000000000000100001000000100000000000110101000010000110001100100000000000001000110000000111100000000011100000001111110001100000000001110001110000011000000000001100001100110011001000000110000000011001011011000100100000000000000000000000000
VIB 346                          0108                          0001100100000010110010000010010000010000000100011110000001001000000110010000000000000100001100000000011111001101110000001100000000011100001101100000011000000000001110000011111000110011000000110001011000000110110000000011011111110000101100000001100110110101111110011100110000011001110011000110000000100001101100101100000
LMG 11216T                       0109                          0001000100000000110010000010000000010000000100001010000001001000000100001000000000000100000100000000011001001001100000001000000000011100001101000000010000000000000110000011111000110011000000100000011000000110110000000011001011110000111100001001100110110001111110010100110000111000110011000010000000000000000000000000000
